OBJECTID,NA_ID,NEIGHB_NAME,STATUS,CLASSIFICA,Web,ShapeSTArea,ShapeSTLength
10654,72,Westchester Gardens Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/72.html,23851006.1600579,27095.7006515915
10655,134,Clarendon Hills Homeowners Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/134.html,865688.799687666,3910.1828572525
10656,125,High Point Estates,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/125.html,6337129.72471547,13117.1366285092
10657,147,Hawk's Landing Neighborhood Association,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/147.html,24291445.4078061,28299.8833213887
10658,169,Madison West    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/169.html,117911950.053992,122060.125746548
10659,81,Sherman    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/81.html,22227619.9288603,30440.3790876236
10660,171,Crawford-Marlborough-Nakoma    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/171.html,15087694.9892727,19421.7286884625
10661,56,Nakoma League,Inactive,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/56.html,10944779.0529316,18023.8896357692
10662,165,Greater Sandburg    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/165.html,44815319.6822914,33212.4166164035
10663,24,Eastmorland Community  ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/24.html,34607575.1410344,25477.6025253304
10664,114,Schenk-Atwood-Starkweather-Yahara    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/114.html,25264337.6581699,26539.9605434819
10665,180,Elderberry    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/180.html,48609127.2283828,28896.7098348466
10666,44,Campus Area    ,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/44.html,16138909.0755313,26900.8812251621
10667,185,Birchwood-Oaks,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/185.html,27693396.4549589,21047.4707478066
10668,186,Arboretum,Active,Neighborhood Association,https://www.cityofmadison.com/neighborhoods/profile/186.html,3504270.38378488,13609.6798807552
